Date,Open*,High,Low,Close**,Volume,Market Cap
"Jul 11, 2018",58.08,60.48,57.74,59.51,"2,386,530","456,318,356"
"Jul 10, 2018",62.8,63.45,57.59,58.8,"2,794,750","450,500,906"
"Jul 09, 2018",63.21,63.96,61.57,62.77,"2,832,510","480,566,782"
"Jul 08, 2018",65.41,66.01,62.92,63.29,"2,292,290","484,176,181"
"Jul 07, 2018",66.76,66.99,63.26,65.6,"2,496,810","501,436,475"
"Jul 06, 2018",66.01,69.31,61.97,66.83,"4,643,210","510,424,415"
"Jul 05, 2018",69.17,69.76,65.57,66.47,"8,123,940","507,331,268"
"Jul 04, 2018",69.7,71.51,67.91,69.16,"3,195,770","494,196,721"
"Jul 03, 2018",70.18,71.7,68.21,69.95,"2,813,280","499,858,294"
"Jul 02, 2018",68.11,72.31,65.92,70.6,"2,773,440","504,514,460"
"Jul 01, 2018",67.1,69.31,64.57,68.47,"3,844,910","489,258,298"
"Jun 30, 2018",69.13,69.92,66.74,67.19,"2,527,450","480,113,891"
"Jun 29, 2018",60.39,71.71,57.88,69.78,"3,765,720","498,630,655"
"Jun 28, 2018",69.53,69.83,60.28,60.4,"5,549,540","431,615,734"
"Jun 27, 2018",71.35,71.76,67.57,69.68,"9,099,940","497,885,354"
"Jun 26, 2018",74.49,75.23,70.17,71.52,"8,445,780","511,039,952"
"Jun 25, 2018",73.96,76.23,69.36,74.94,"8,448,140","535,521,982"
"Jun 24, 2018",72.48,74.94,64.84,73.79,"8,946,690","527,255,786"
"Jun 23, 2018",77.46,78.99,70.46,72.86,"8,905,860","520,652,405"
"Jun 22, 2018",90.08,90.92,75.83,77.6,"12,910,600","554,505,362"
"Jun 21, 2018",91.5,92.85,89.69,90.39,"10,094,600","645,920,137"
"Jun 20, 2018",92.85,92.86,88.52,91.49,"9,559,960","653,763,304"
"Jun 19, 2018",93.6,94.9,91.88,92.97,"7,244,000","664,354,010"
"Jun 18, 2018",90.99,95.95,89.44,93.74,"6,317,070","669,862,663"
"Jun 17, 2018",90.24,96.97,89.99,91.33,"8,032,430","652,594,975"
"Jun 16, 2018",90.52,92.23,88.42,90.25,"5,439,200","644,921,877"
"Jun 15, 2018",99.25,99.5,90.62,91.04,"12,942,100","650,519,137"
"Jun 14, 2018",86.12,99.27,85.36,99.24,"9,819,660","709,163,535"
"Jun 13, 2018",86.89,94.6,85.18,86.4,"6,220,090","617,367,177"
