"Date","Open.","High","Low","Close..","Volume","Market.Cap","project","daychange","daychange_per","date"
"Aug 27, 2018",0.323643,0.337781,0.323066,0.336903,"227,284,000","13,347,493,496","Ripple",-0.01326,-4.09710699752505,2018-08-27
"Aug 26, 2018",0.328162,0.328327,0.320571,0.323776,"168,718,000","12,797,087,412","Ripple",0.004386,1.33653500405288,2018-08-26
"Aug 25, 2018",0.32765,0.33153,0.324468,0.32823,"167,363,000","12,973,129,575","Ripple",-0.000580000000000025,-0.177018159621555,2018-08-25
"Aug 24, 2018",0.32739,0.328584,0.318217,0.327606,"244,571,000","12,948,466,281","Ripple",-0.000215999999999994,-0.0659763584715459,2018-08-24
"Aug 23, 2018",0.319573,0.328813,0.319176,0.327709,"217,578,000","12,952,537,306","Ripple",-0.00813599999999998,-2.54589718155163,2018-08-23
"Aug 22, 2018",0.334434,0.350122,0.316613,0.319803,"286,845,000","12,640,056,538","Ripple",0.014631,4.37485423132816,2018-08-22
"Aug 21, 2018",0.318219,0.3381,0.316983,0.335177,"248,735,000","13,196,722,736","Ripple",-0.016958,-5.32903440712215,2018-08-21
"Aug 20, 2018",0.344451,0.351689,0.317692,0.319283,"311,144,000","12,570,937,819","Ripple",0.025168,7.30669964668415,2018-08-20
"Aug 19, 2018",0.327363,0.353079,0.321945,0.343978,"327,300,000","13,543,239,224","Ripple",-0.016615,-5.07540558951378,2018-08-19
"Aug 18, 2018",0.363027,0.369954,0.317115,0.3271,"434,332,000","12,878,711,866","Ripple",0.035927,9.89650907508257,2018-08-18
"Aug 17, 2018",0.292808,0.373619,0.292766,0.366676,"497,206,000","14,436,913,947","Ripple",-0.073868,-25.227452801836,2018-08-17
"Aug 16, 2018",0.282034,0.300958,0.278203,0.292436,"238,219,000","11,513,907,011","Ripple",-0.010402,-3.68820780473275,2018-08-16
"Aug 15, 2018",0.276797,0.301744,0.276797,0.282005,"332,432,000","11,103,213,512","Ripple",-0.00520799999999999,-1.88152328240551,2018-08-15
"Aug 14, 2018",0.278738,0.279615,0.253983,0.274272,"276,768,000","10,798,746,747","Ripple",0.00446599999999997,1.60222144092301,2018-08-14
"Aug 13, 2018",0.297572,0.31068,0.276544,0.277466,"235,117,000","10,924,502,191","Ripple",0.020106,6.756684096622,2018-08-13
"Aug 12, 2018",0.300604,0.309376,0.297057,0.29787,"178,827,000","11,706,253,644","Ripple",0.00273399999999996,0.909502202232824,2018-08-12
"Aug 11, 2018",0.321122,0.32121,0.291582,0.301262,"284,423,000","11,839,558,819","Ripple",0.01986,6.18456536767959,2018-08-11
"Aug 10, 2018",0.346167,0.347973,0.316909,0.320426,"249,264,000","12,592,701,615","Ripple",0.025741,7.43600632064871,2018-08-10
"Aug 09, 2018",0.333771,0.359654,0.332608,0.346771,"325,775,000","13,628,056,811","Ripple",-0.013,-3.89488601466275,2018-08-09
"Aug 08, 2018",0.380875,0.380875,0.326996,0.331944,"360,857,000","13,045,357,571","Ripple",0.048931,12.846997046275,2018-08-08
"Aug 07, 2018",0.413776,0.415917,0.379526,0.381006,"244,448,000","14,973,488,018","Ripple",0.03277,7.91974401608599,2018-08-07
"Aug 06, 2018",0.433886,0.435794,0.40668,0.414081,"242,075,000","16,273,331,370","Ripple",0.019805,4.56456304190502,2018-08-06
"Aug 05, 2018",0.42858,0.434594,0.427522,0.433638,"186,848,000","17,041,919,018","Ripple",-0.00505800000000001,-1.18017639647207,2018-08-05
"Aug 04, 2018",0.441039,0.443058,0.427125,0.428507,"185,678,000","16,840,271,361","Ripple",0.012532,2.84147206936348,2018-08-04
"Aug 03, 2018",0.430397,0.443633,0.426481,0.440571,"278,870,000","17,314,385,048","Ripple",-0.010174,-2.36386406039076,2018-08-03
"Aug 02, 2018",0.447016,0.447645,0.429939,0.430254,"204,898,000","16,915,730,078","Ripple",0.016762,3.74975392379691,2018-08-02
